id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,detailed_mood,liveness,instrumentalness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,euphoric,0.12,0.02
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020,dreamy,0.08,0.45
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010,aggressive,0.15,0.04
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,48,2020,nostalgic,0.10,0.62
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020,pumped,0.18,0.01
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,45,2010,dreamy,0.05,0.88
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,52,2010,nostalgic,0.22,0.15
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,69,2020,melancholic,0.09,0.32
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,61,2020,focused,0.07,0.55
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,74,2020,euphoric,0.14,0.03
11,Classical Serenity,Symphony Strings,classical,calm,0.25,65,0.88,0.15,0.95,42,2000,peaceful,0.18,0.95
12,Electric Pulse,Cyber Monks,electronic,intense,0.87,145,0.72,0.91,0.08,77,2010,pumped,0.11,0.08
13,Country Roads,Dusty Voices,country,nostalgic,0.58,104,0.75,0.68,0.78,55,2000,nostalgic,0.35,0.12
14,Reggae Vibes,Island Warriors,reggae,relaxed,0.65,95,0.79,0.76,0.72,63,2010,uplifting,0.28,0.14
15,Metal Fury,Thunder Hammer,metal,aggressive,0.96,170,0.35,0.85,0.12,70,2010,aggressive,0.20,0.05
16,Soul Deep,Velvet Hearts,soul,melancholic,0.68,98,0.62,0.71,0.68,44,2000,melancholic,0.25,0.08
17,Ambient Dreams,Ethereal Wings,ambient,peaceful,0.22,58,0.81,0.28,0.94,38,2010,peaceful,0.06,0.92
